State,District,City,Latitude,Longitude
Madhya Pradesh,Alirajpur,-,22.3,74.35
Madhya Pradesh,Anuppur,-,23.12,81.7
Madhya Pradesh,Ashok Nagar,-,24.57,77.72
Madhya Pradesh,Balaghat,-,21.97,80.33
Madhya Pradesh,Barwani,-,22.02,74.92
Madhya Pradesh,Betul,-,21.83,77.83
Madhya Pradesh,Bhind,-,26.55,78.78
Madhya Pradesh,Bhopal,-,23.27,77.4
Madhya Pradesh,Burhanpur,-,21.3,76.22
Madhya Pradesh,Chachaura-Binaganj,-,24.17,77
Madhya Pradesh,Chhatarpur,-,24.9,79.57
Madhya Pradesh,Chhindwara,-,22.05,78.93
Madhya Pradesh,Damoh,-,21.88,80.78
Madhya Pradesh,Datia,-,25.67,78.45
Madhya Pradesh,Dewas,-,22.95,76.05
Madhya Pradesh,Dhar,-,22.6,75.3
Madhya Pradesh,Dindori,-,22.95,81.08
Madhya Pradesh,Guna,-,24.63,77.32
Madhya Pradesh,Gwalior,-,26.22,78.17
Madhya Pradesh,Harda,-,22.33,77.08
Madhya Pradesh,Hoshangabad,-,22.67,77.5
Madhya Pradesh,Indore,-,22.67,75.75
Madhya Pradesh,Jabalpur,-,23.15,79.93
Madhya Pradesh,Jhabua,-,22.77,74.6
Madhya Pradesh,Katni,-,23.83,80.38
Madhya Pradesh,Khandwa (East Nimar),-,0,0
Madhya Pradesh,Khargone (West Nimar),-,0,0
Madhya Pradesh,Maihar,-,24.25,80.75
Madhya Pradesh,Mandla,-,22.7,81
Madhya Pradesh,Mandsaur,-,24.07,75.07
Madhya Pradesh,Morena,-,26.5,78
Madhya Pradesh,Narsinghpur,-,22.92,79.17
Madhya Pradesh,Nagda,-,0,0
Madhya Pradesh,Neemuch,-,24.47,74.87
Madhya Pradesh,Niwari,-,0,0
Madhya Pradesh,Panna,-,24.72,80.17
Madhya Pradesh,Raisen,-,23.32,77.78
Madhya Pradesh,Rajgarh,-,24.25,74.93
Madhya Pradesh,Ratlam,-,23.32,75.03
Madhya Pradesh,Rewa,-,24.52,81.28
Madhya Pradesh,Sagar,-,23.8,78.67
Madhya Pradesh,Satna,-,24.33,80.55
Madhya Pradesh,Sehore,-,23.2,77.08
Madhya Pradesh,Seoni,-,22.08,79.55
Madhya Pradesh,Shahdol,-,23.3,81.35
Madhya Pradesh,Shajapur,-,23.5,76.25
Madhya Pradesh,Sheopur,-,25.67,76.7
Madhya Pradesh,Shivpuri,-,24.87,77.18
Madhya Pradesh,Sidhi,-,24.42,81.88
Madhya Pradesh,Singrauli,-,24.2,82.67
Madhya Pradesh,Tikamgarh,-,24.73,78.82
Madhya Pradesh,Ujjain,-,23.42,75.5
Madhya Pradesh,Umaria,-,23.52,80.83
Madhya Pradesh,Vidisha,-,23.52,77.8
Maharashtra,Ahmednagar,-,19.08,74.72
Maharashtra,Akola,-,20.5,77.17
Maharashtra,Amravati,-,20.93,77.75
Maharashtra,Aurangabad,-,19.88,75.32
Maharashtra,Beed,-,18.83,75.75
Maharashtra,Bhandara,-,21.18,80
Maharashtra,Buldhana,-,20.52,76.17
Maharashtra,Chandrapur,-,19.95,79.3
Maharashtra,Dhule,-,20.9,74.77
Maharashtra,Gadchiroli,-,20.18,80
Maharashtra,Gondia,-,21.45,80.18
Maharashtra,Hingoli,-,19.72,77.15
Maharashtra,Jalgaon,-,18.65,75.1
Maharashtra,Jalna,-,19.83,75.88
Maharashtra,Kolhapur,-,16.68,74.22
Maharashtra,Latur,-,18.4,76.58
Maharashtra,Mumbai City,-,18.97,72.82
Maharashtra,Mumbai suburban,-,19.05,72.83
Maharashtra,Nanded,-,19.15,77.32
Maharashtra,Nandurbar,-,21.38,74.37
Maharashtra,Nagpur,-,21,79
Maharashtra,Nashik,-,19.98,73.78
Maharashtra,Osmanabad,-,17.35,75.17
Maharashtra,Palghar,-,19.68,72.77
Maharashtra,Parbhani,-,19.5,76.75
Maharashtra,Pune,-,18.52,73.83
Maharashtra,Raigad,-,18.65,72.87
Maharashtra,Ratnagiri,-,16.98,73.3
Maharashtra,Sangli,-,16.85,74.57
Maharashtra,Satara,-,17.7,74
Maharashtra,Sindhudurg,-,16.1,73.68
Maharashtra,Solapur,-,17.83,75.5
Maharashtra,Thane,-,19.2,72.97
Maharashtra,Wardha,-,20.83,78.6
Maharashtra,Washim,-,20.1,77.13
Maharashtra,Yavatmal,-,20.1,78.2
Manipur,Bishnupur,-,24.63,93.77
Manipur,Chandel,-,24.32,93.98
Manipur,Churachandpur,-,24.33,93.68
Manipur,Imphal East,-,24.8,93.95
Manipur,Imphal West,-,24.82,93.9
Manipur,Jiribam,-,24.8,93.12
Manipur,Kakching,-,24.48,93.98
Manipur,Kamjong,-,24.85,94.5
Manipur,Kangpokpi,-,25.13,93.97
Manipur,Noney,-,0,0
Manipur,Pherzawl,-,0,0
Manipur,Senapati,-,0,0
Manipur,Tamenglong,-,24.98,93.48
Manipur,Tengnoupal,-,24.32,93.98
Manipur,Thoubal,-,24.65,93.98
Manipur,Ukhrul,-,25.12,94.37
Meghalaya,East Garo Hills,-,25.48,90.62
Meghalaya,East Khasi Hills,-,25.57,91.88
Meghalaya,East Jaintia Hills,-,0,0
Meghalaya,North Garo Hills,-,25.88,90.58
Meghalaya,Ri Bhoi,-,25.9,91.88
Meghalaya,South Garo Hills,-,25.2,90.63
Meghalaya,South West Garo Hills,-,0,0
